,N_MLUNG_1,N_MLUNG_2,N_MLUNG_3,N_MLUNG_4,N_MLUNG_5,T_MLUNG_1,T_MLUNG_2,T_MLUNG_3,T_MLUNG_4,T_MLUNG_5,T_MLUNG_6,T_MLUNG_7
EAM261,0.7122976971705396,1.0401412336232947,0.06820781058852876,1.8978869759343808,1.101918553077316,-0.4304712013219183,-0.056461942389082025,-1.1142591487805198,-0.7522931217990128,-0.5823497375969725,-0.45299650552717463,-1.431620612979344
EAM260,0.8182534375419322,0.9842374013086564,0.3047929435665887,1.6741606446420594,1.2256686213329815,-0.4096506580505372,-0.08040721477083294,-1.3127124003116635,-0.7510494926161824,-0.5341386308755766,-0.5263843295379929,-1.3927703222294514
EAM256,-0.4270966303376758,1.9691880807271291,-0.4270966303376758,-0.4270966303376758,-0.4270966303376758,-0.4270966303376758,2.3017782226496615,-0.4270966303376758,-0.4270966303376758,-0.4270966303376758,-0.4270966303376758,-0.4270966303376758
EAM255,0.5405835991007268,0.616321976045349,1.1901858321257506,1.5888206622573535,0.8982121482238513,-0.6199725807526194,-1.2535756418431863,-0.6820534012629945,-0.8960143161315504,0.059577682090892155,-1.531297962509352,0.08921200265576315
EAM248,1.295544256193071,0.09544407305078927,-0.5894001153008527,1.4842009786951533,-0.16340106448970076,0.7145626935630014,-0.26117798948540283,-1.4166497006379442,-0.6441714218337173,1.377092645919775,-0.7902282392546827,-1.101816116419414
EAM244,-1.2468529992668418,-1.3692298387445678,-0.18284144183058015,-0.643654610510335,-1.1046228829156661,0.5554522919007048,-0.0758198711846575,1.142674996923109,1.8758503077104565,0.4374183567390433,-0.1332082496469644,0.7448339408263129
EAM240,0.9266567460990955,0.48378295381274283,1.5423632935283458,1.268265149456652,1.065409803044801,-0.6509087118765865,-0.6255923646443874,-0.8623651249762986,-0.48716387625294016,-0.274409188936191,-1.3758325778139766,-1.0102061014412569
EAM237,0.9341597079249774,0.43936859807226114,0.8084262458375248,1.1377281703522788,0.423322613386814,-0.11864848128728976,-1.511296256598784,0.323454320643065,0.7720234149093479,-0.6912745914798589,-2.020935889593256,-0.49632785216712266
EAM233,0.9326037737475448,0.6105739079061263,-0.5185114740862009,1.2062442660750086,1.1462527620694003,0.2520397778348755,0.20082061639612972,-1.9045415996497106,-0.038862420833819265,0.4105079016232746,-0.8484647461170407,-1.4486627649655908
EAM232,2.2900945653766422,-0.5884109150623729,1.634912347814033,-0.5884109150623729,-0.5884109150623729,0.33314046636176553,-0.5884109150623729,-0.5884109150623729,-0.5884109150623729,0.44913994094661785,-0.5884109150623729,-0.5884109150623729
EAM231,-0.7631897455052516,-0.7631897455052516,0.6871952194155825,2.146410534198949,1.25213692084801,0.2115604654564874,-0.7631897455052516,-0.7631897455052516,-0.7631897455052516,0.7628552625559112,-0.7631897455052516,-0.4810199294434426
EAM230,-0.3749353463713619,-1.5754910087483964,-1.1100218291295354,0.01209970869788192,-0.81916195059137,1.537596744209044,0.8730075995877306,0.15682934328348438,0.3178994204835918,1.6615506731847802,-0.0002723407102424752,-0.6791010138956232
EAM229,-0.09993590031296193,-1.774442678814466,-0.494739516378809,-1.1331832018186254,-1.435510295202382,1.2017007963485744,0.46692739978158115,0.6785563651502112,1.0766203714388245,0.8609900180695272,0.23810728596563993,0.4149093557729055
EAM228,0.9866289299983962,0.30987721522546063,0.37329467723895055,1.5661255970191945,0.8629312655763248,0.005114853605861775,0.3053954157898768,-1.8404453359726023,-0.8377995752412928,0.3578324691861916,-0.8192673345751608,-1.2696881778511853
EAM222,0.42375038233684953,-0.2080674228563587,1.0224026300452826,1.9571696872212982,0.33317217912211755,0.15731111380367602,-0.6996980396895432,-1.2860316517607742,0.5199026288263311,-0.20165727309039327,-1.807399789464757,-0.21085444449373844
EAM220,-0.9617893790611948,-0.9617893790611948,-0.9617893790611948,-0.9617893790611948,-0.9617893790611948,1.6230195771657654,0.6251411577634288,1.075650849803156,0.4756294192072688,1.0930920577491794,-0.6615592774997797,0.5779731111169513
EAM219,0.25300637433059286,-0.16246781834496435,0.34293990870906693,2.285176368606697,0.6451774767179768,-0.2579050976658718,-0.18916683636357418,-1.8757719088286398,-0.6401226187743895,0.5185913430420256,-0.9242095385688933,0.004752347140011162
EAM218,1.190718840093801,-0.04311061727750953,1.9594084768068933,0.47637132344731536,0.5532163478586828,-0.3160181806076009,-0.40076316079957697,-1.8036037933560118,-0.5439199352481692,0.4653592638743469,-0.7691883712952011,-0.7684701934969635
EAM217,0.6154610858216334,0.23942033373673569,1.3619830552583454,1.6178760845005122,0.08313563512896652,0.13764996181724992,-0.18804611462917625,-1.2536236051366896,-0.5807654709133229,0.3831960791950678,-0.48177486636037886,-1.934512178418954
EAM216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAM215,-1.1497142421985636,-1.4205233404325857,0.8546277458534413,1.775986670340948,0.23498410293443125,0.5427792894211841,-0.9143712559877044,0.3910349958363576,0.7814155574627647,0.5635522978918961,-1.0861285699284604,-0.5736432511937272
